"Paper-id","ชื่อ Paper(Eng)","ชื่อ Paper(Th)","ชื่อผู้ส่ง","สถานะหลัก" 

"10016","Minutes_December","รายงานการประชุมประจำเดือนธันวาคม","สมศักดิ์ คงยิ่ง"," ผ่าน",

"10021","Evaluation_Example","ตัวอย่างการประเมินผู้สอน","สุชาดา สมบัติคง"," รอผลการตรวจสอบ",

"10022","longtest","ลองเทส","สุชาดา สมบัติคง"," รอผลการตรวจสอบ",

"10014","asd","asd","นาย พลเมือง ดีเด่น"," รอผลการตรวจสอบ",

"10015","s","s","s s"," ผ่าน",

"10016","s","s","s s"," รอผลการตรวจสอบ",

"10017","d","d","s s"," รอผลการตรวจสอบ",

